Section_1,Section_2,Section_3,Text
Title,,,Cost and Cost-effectiveness of Students for Nutrition and Exercise (SNaX) 
Abstract,Objective,,"To examine the cost and cost-effectiveness of implementing Students for Nutrition and eXercise (SNaX), a 5-week middle-school-based obesity-prevention intervention combining school-wide environmental changes, multimedia, encouragement to eat healthy school cafeteria foods, and peer-led education."
Abstract,Methods,,"Five intervention and five control middle schools (mean enrollment = 1,520 students) from the Los Angeles Unified School District participated in a randomized controlled trial of SNaX. Acquisition costs for materials and time and wage data for employees involved in implementing the program were used to estimate fixed and variable costs. Cost-effectiveness was determined using the ratio of variable costs to program efficacy outcomes."
Abstract,Results,,"The costs of implementing the program over 5 weeks were $5,433.26 per school in fixed costs and $2.11 per student in variable costs, equaling a total cost of $8,637.17 per school, or $0.23 per student per day. This investment yielded significant increases in the proportion of students served fruit and lunch and a significant decrease in the proportion of students buying snacks. The cost-effectiveness of the program, per student over 5 weeks, was $1.20 per additional fruit served during meals, $8.43 per additional full-priced lunch served, $2.11 per additional reduced-price/free lunch served, and $1.69 per reduction in snacks sold."
Abstract,Conclusions,,"SNaX demonstrated the feasibility and cost-effectiveness of a middle-school-based obesity-prevention intervention combining school-wide environmental changes, multimedia, encouragement to eat healthy school cafeteria foods, and peer-led education. Its cost is modest and unlikely to be a significant barrier to adoption for many schools considering its implementation. Keywords: adolescents, cost, cost-effectiveness, schools, health promotion, nutrition, fruits, vegetables"
Introduction,,,"Reducing the prevalence of obesity in children is a major public health goal1,2 with broad implications for future population health and healthcare costs.3 Because children consume 35% to 50% of their daily calories at school,4 attention has been focused on school nutrition policy changes—such as those spurred by the 2010 Healthy Hunger-Free Kids Act (S.3307)—and local school-environment programs.1,2 In recent years, several local programs have proven effective in promoting healthier dietary choices such as reducing sugar-sweetened beverage (SSB) consumption and increasing children’s fruit and vegetable consumption;5–12 some have improved body mass index (BMI).9–12 However, with few exceptions,13–17 the cost and cost-effectiveness of implementing these programs are unknown.
The cost of school-based nutritional and exercise interventions is important information for school principals, superintendents, and other leaders.4,18 These decision-makers often oversee policy and program adoption decisions for schools, and they frequently navigate challenging budget constraints.19,20 Furthermore, a recent Institute of Medicine report on preventive interventions in children emphasized the role of economic evaluation in providing policymakers with guidance for decision-making.21
In this study, we present the cost and cost-effectiveness of Students for Nutrition and eXercise (SNaX), a five-week middle-school-based obesity-prevention program that combined school-wide environmental changes, multimedia, encouragement to eat healthy school cafeteria foods, and peer-led education.22 SNaX was developed using principles of community-based participatory research and was assessed in a randomized controlled trial in public Los Angeles middle-schools (grades 6–8) from 2009 – 2012. We found that SNaX significantly increased the proportion of students choosing fruit during meals and obtaining lunch from the cafeteria (a program goal because the cafeteria had redesigned its food offerings to exceed national nutritional standards), decreased the proportion of students buying snacks at school, enhanced students’ knowledge about obesity-prevention behaviors, and increased tap water consumption.22 Our cost and cost-effectiveness analysis of SNaX, focused on diet-related outcomes, aims to inform policymakers and other stakeholders seeking to improve student dietary choices and ultimately student health."
Methods,Participants,,"We selected ten schools from the Los Angeles Unified School District (LAUSD) with >50% National School Lunch Program (NSLP)-eligible students (a proxy for low-income) and <900 seventh-graders to participate in a randomized controlled trial evaluating the SNaX program. There were five schools in the intervention group and five in the control group. Of 4,022 eligible students, 2,809 (70%) had consent for height, weight, and NSLP data collection; data were obtained for 2,606 (93%) and 2,693 (96%), respectively."
Methods,Intervention,,"More details about the intervention are available elsewhere.22 Seventh-graders were recruited through in-class presentations and informational tables to join a peer leader club, where they were trained by facilitators to promote and model healthy behaviors and engage other students in discussions to change eating and physical activity norms. Specifically, they were trained to discuss SNaX messages regarding cafeterias, water, SSBs, fruits/vegetables, and physical activity/inactivity with peers and family using a motivational interviewing style. Peer leaders also learned educational messages and conducted lunchtime giveaways (e.g., educational bookmarks, wristbands, pens, key chains, and pedometers) and cafeteria-food taste tests. A different group of peer leaders was recruited and trained each week by trained facilitators, and across schools, 454 peer leaders and partners participated. To control for seasonal variation in students’ dietary patterns, we conducted SNaX only in spring semesters, when LAUSD cafeteria participation typically declines. In keeping with community-based participatory research principles, school district administrators from Student Health and Human Services, Food Services, and Physical education served on the study leadership team and were integral to the development and implementation of the intervention and analysis and interpretation of results. As part of SNaX, the SNaX team developed signs and posters promoting water consumption, healthy foods, and physical activity; developed a promotional film for students; and in conjunction with the schools, installed water stations to expand students’ access to drinking water. Cafeterias offered chilled, filtered water and a greater variety of healthier options (sliced/bite-sized fruits/vegetables), and posted SNaX-branded signs and banners promoting water consumption and healthy foods in the cafeteria area. Overall program effects were measured across the entire school population using cafeteria and school store records, although peer leaders were recruited from seventh grade, and seventh-graders received a more intensive intervention (e.g., peer leader education). Thus, seventh-graders students completed surveys that assessed attitudes about the cafeteria, knowledge about obesity-prevention, tap water consumption, and other outcomes. Additional details about the program’s design, content, and dietary and survey outcomes are reported elsewhere.22 The institutional review boards of Boston Children’s Hospital and RAND Corporation and the LAUSD Committee for External Research Review approved the study protocol."
Methods,Data Collection,,"We documented the cost of multimedia materials and promotional and marketing items, and program coordinators reported detailed information about water system maintenance costs, time spent training facilitators and peer leaders, teacher wages, and cafeteria employee wages. Multimedia materials and marketing products were procured from local vendors, including a graphic designer and film team; purchasing was centralized, so prices of program components were similar across schools. The cost of developing multimedia materials and marketing products was not included in our analysis, since these costs have already occurred and are not recoverable (i.e., “sunk” in economic terminology) from the perspective of program dissemination. Schools provided data on cafeteria participation (number of students obtaining lunch by NSLP eligibility; number of fruits and vegetables served) and school store and vending machine sales (number of snacks sold) for each day of the intervention; we divided these totals by the number of students in attendance. Students eligible for the NSLP received free or reduced-price lunches based on family income. One school did not provide snack sale data because its store was closed due to structural damage."
Methods,Intervention Component Categories,,"We classified intervention components into three categories using detailed activity and product descriptions provided by the schools and research staff. The categories were (1) Peer Leader Activities, including peer leader training, social marketing, and giveaways; (2) School-wide Multimedia Marketing, including SNaX-branded cafeteria signs and banners and parent take-home activity sheets; and (3) School Food Environment Changes, including filtered water system set-up and maintenance, plastic cups for water, preparing fruits/vegetables, and cafeteria taste tests."
