,Items per week,No. of weeks,Cost type¶,Cost per item (or per hour),Total cost‡
Peer leader activities,,,,,"$3,908.06"
Facilitator training,,,,,$590.60
,,,,,
Training facilitator to deliver SNaX program*,15.0,1.0,Fixed,$39.27,$589.12
SNaX manual,1.0,1.0,Fixed,$1.48,$1.48
Peer leader training,,,,,$691.64
,,,,,
Weekly facilitator training*,2.0,5.0,Fixed,$39.27,$392.74
Trivia game quiz cards,8.0,5.0,Fixed,$2.80,$112.00
Role-playing scenario cards,10.0,5.0,Fixed,$2.10,$126.00
Peer leader tips/informational guides,18.0,5.0,Fixed†,$0.84,$75.60
Role-playing tips handouts,18.0,5.0,Fixed†,$0.07,$6.30
Peer leader social marketing,,,,,$781.02
,,,,,
"Wristbands (white), key chains, pens, water bottles",72.0,5.0,Fixed†,$0.58,$209.70
Pedometers,18.0,1.0,Fixed†,$5.49,$98.82
T-shirts,18.0,5.0,Fixed†,$5.25,$472.50
Peer leader social marketing-giveaways,,,,,"$1,844.80"
,,,,,
"Pens, key chains",100.0,5.0,Variable,$0.46,$230.00
Pedometers,200.0,1.0,Variable,$5.49,"$1,098.00"
Wristbands (red) for students,1520.0,1.0,Variable,$0.34,$516.80
,,,,,
School wide multimedia marketing,,,,,$857.51
Parent sheets,,,,,$212.80
,,,,,
Parent take-home activity brochure,1520.0,1.0,Variable,$0.14,$212.80
Media,,,,,$644.71
,,,,,
SNaX DVD,1.0,1.0,Fixed,$0.42,$0.42
Bookmarks,4000.0,1.0,Fixed,$0.05,$200.00
Activity posters,1.0,1.0,Fixed,$23.98,$23.98
"Banners, signs, other posters",16.0,1.0,Fixed,$30.02,$420.31
,,,,,
School environment changes,,,,,"$1,884.21"
Water,,,,,"$1,789.95"
,,,,,
"Water system maintenance (e.g., cleaning jugs)*",1.5,5.0,Fixed,$13.64,$102.29
Water testing for copper and lead,1.0,1.0,Fixed,$160.70,$160.70
Water filter,1.0,1.0,Fixed,$559.01,$559.01
Water jugs,5.0,1.0,Fixed,$35.77,$178.83
Rolling cart for jug transport,1.0,1.0,Fixed,$504.12,$504.12
Plastic cups for water,1900.0,5.0,Variable,$0.03,$285.00
Food taste tests,,,,,$94.26
,,,,,
Strawberries,100.0,3.0,Fixed,$0.38,$38.42
Celery with low-fat ranch dressing,100.0,3.0,Fixed,$0.32,$31.62
Breaded chicken nuggets,100.0,3.0,Fixed,$0.24,$24.21
,,,,,
"Total fixed costs, not including peer leader costs",,,,,"$3,444.26"
Total peer leader costs,,,,,$862.92
Total variable costs,,,,,"$2,342.60"
,,,,,
Total cost,,,,,"$6,649.78"
